,degree,video_id,duration,views,age,title,img,topic,subject
0,21,['ZUhvIBEYFIY'], 55 minutes,8.6K views,7 years ago,"Mod-05 Lec-01 Definition, Kolmogrov Differential Equations and Infinitesimal Generator Matrix",https://i.ytimg.com/vi/ZUhvIBEYFIY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVFzqKqRxsGNR8E3ICH023tLEXNA,Infinitesimal Generator,15.780 Stochastic Models in Business Analytics
0,19,['jsqSScywvMc'], 52 minutes,109K views,8 years ago,14. Poisson Process I,https://i.ytimg.com/vi/jsqSScywvMc/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNwr1ZfzkE5q8VPnFarI1Tq3QXwA,Poisson Process,15.780 Stochastic Models in Business Analytics
0,22,['gRex9SSXAcM']," 6 minutes, 53 seconds",1.4K views,1 year ago,Markov Chains Reducibility and Periodicity,https://i.ytimg.com/vi/gRex9SSXAcM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLALCEMPiL__WWsVLwV0WEn4wAQh0g,Irreducible and Recurrence,15.780 Stochastic Models in Business Analytics
0,18,['E6gdPuaoYlc']," 12 minutes, 21 seconds",1K views,4 years ago,Derivation of Galton-Watson Process,https://i.ytimg.com/vi/E6gdPuaoYlc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOiX9uDycsLpuVnzrKGP135sbKjA,Galton-Watson Tree,15.780 Stochastic Models in Business Analytics
0,21,['aZYQi1Rnt4I'], 30 minutes,325 views,1 year ago,Lecture 18 (Part 4): Infinitesimal generator of n-dimensional Ito Process,https://i.ytimg.com/vi/aZYQi1Rnt4I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsyp8AqKL624oG0VE3pYe2wiFFoQ,Infinitesimal Generator,15.780 Stochastic Models in Business Analytics
0,19,['YWdOW29tdq8']," 11 minutes, 53 seconds",43K views,5 years ago,Poisson processes -- Example 1,https://i.ytimg.com/vi/YWdOW29tdq8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_RalmfOxs3kkiXwU7c18YV_IUug,Poisson Process,15.780 Stochastic Models in Business Analytics
0,22,['kNQE_CynFZ4'], 43 minutes,360 views,1 year ago,Week 9: Lecture 34: Hitting Times and Recurrence,https://i.ytimg.com/vi/kNQE_CynFZ4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYLXvk6xOOTG0Q4_1Ika2AffHyLg,Irreducible and Recurrence,15.780 Stochastic Models in Business Analytics
0,18,['wGjA3ThMnjg'], 51 minutes,953 views,1 year ago,Nina Gantert: Branching random walks and Galton-Watson trees,https://i.ytimg.com/vi/wGjA3ThMnjg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC--yBhZIWqnoaUi82_kWWUGJ_E6w,Galton-Watson Tree,15.780 Stochastic Models in Business Analytics
0,23,['sXAknaqkZSs']," 7 minutes, 1 second",45K views,3 years ago,Markov Chain Stationary Distribution,https://i.ytimg.com/vi/sXAknaqkZSs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyXY8JvbG-yZ5cLS_j-0RU3SyR_g,Stationary Distribution,15.780 Stochastic Models in Business Analytics
0,19,['zoR3HS_16Vg'], 33 minutes,2.2K views,7 months ago,Lecture 24 Stochastic process- Poisson process,https://i.ytimg.com/vi/zoR3HS_16Vg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC07TPKGfAfxdlZQpOgXfApT8wF-A,Poisson Process,15.780 Stochastic Models in Business Analytics
