,degree,video_id,duration,views,age,title,img,topic,subject
0,11,['CO3-796fGv8']," 11 minutes, 17 seconds",43K views,4 years ago,Game Theory 101 (#54): Repeated Prisoner's Dilemma (Finite),https://i.ytimg.com/vi/CO3-796fGv8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqrFgrNe-F9QFCUAkDUoWmJNr6VQ,Introduction to Repeated Interaction,15.9001 Competitive Strategy
0,12,['sa0RUmGTCYY'], 19 minutes,4.9M views,8 years ago,The secret to desire in a long-term relationship | Esther Perel,https://i.ytimg.com/vi/sa0RUmGTCYY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzvLz-pc6iN5AEn1uVgyBcJ8wXvA,Long-run Relationships,15.9001 Competitive Strategy
0,11,['OE46w0RqmQA']," 11 minutes, 26 seconds",266K views,7 years ago,Main effects &amp; interactions,https://i.ytimg.com/vi/OE46w0RqmQA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSnX2TQPaMHgKKvoimvzJg8PhJ2A,Introduction to Repeated Interaction,15.9001 Competitive Strategy
0,11,['-zUmvpkhvW8']," 10 minutes, 5 seconds",746K views,2 years ago,Math Antics - Intro To Exponents (aka Indices),https://i.ytimg.com/vi/-zUmvpkhvW8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0QLLxCZTfuO6KNH4kQlNFu50peg,Introduction to Repeated Interaction,15.9001 Competitive Strategy
0,12,['pXvoOQzADl8']," 4 minutes, 23 seconds",565K views,9 months ago,The one factor in a lasting relationship,https://i.ytimg.com/vi/pXvoOQzADl8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_2-Z42zYSJRyCiSkZW4R5pbdLeA,Long-run Relationships,15.9001 Competitive Strategy
0,12,['4HBZt3H8VXo']," 4 minutes, 3 seconds",980K views,2 years ago,This is why 90% of relationships don't last | Esther Perel (You can need to know this),https://i.ytimg.com/vi/4HBZt3H8VXo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkGiN4_ObNK52RNjUePMw6dhjhcg,Long-run Relationships,15.9001 Competitive Strategy
0,11,['VPB3xrsFl4o']," 9 minutes, 3 seconds",150K views,10 years ago,Repeated-Measures ANOVA,https://i.ytimg.com/vi/VPB3xrsFl4o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0xvMrIrtPJkDfnoFur9Dh3u5KmQ,Introduction to Repeated Interaction,15.9001 Competitive Strategy
0,12,['t3MwXRg0dDA']," 2 minutes, 29 seconds",24K views,8 years ago,Nationwise - tips for long-lasting relationships,https://i.ytimg.com/vi/t3MwXRg0dDA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDD-J6KQULVmBAskS-ds1fc2q1IXA,Long-run Relationships,15.9001 Competitive Strategy
tion,15.9001 Competitive Strategy
0,11,['i4mamuL_CF8'], 34 minutes,117K views,7 years ago,"Statistics 101: Two-way ANOVA with Replication, An Introduction",,Introduction to Repeated Interaction,15.9001 Competitive Strategy
0,12,['6UjSj4LPyVQ']," 2 minutes, 41 seconds",1.8K views,1 year ago,Merchant Ships - Long Term Relationships Were Only Cool When Divorce Wasn't,https://i.ytimg.com/vi/6UjSj4LPyVQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCO3_GZZHcjKzyD8eSja365XXjqVA,Long-run Relationships,15.9001 Competitive Strategy
